SampleID,Temp,Treatment
Weint_070_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1987,-2,0.4
Weint_071_met_SPE_23Dec20_Fir_Infuse_300SA_p1_013_01_2018,-2,0.4
Weint_072_met_SPE_23Dec20_Fir_Infuse_300SA_p1_040_01_2045,-2,0.4
Weint_073_met_SPE_23Dec20_Fir_Infuse_300SA_p1_038_01_1959,-2,0.2
Weint_074_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1996,-2,0.2
Weint_075_met_SPE_23Dec20_Fir_Infuse_300SA_p1_015_01_2020,-2,0.2
Weint_076_met_SPE_23Dec20_Fir_Infuse_300SA_p1_022_01_2027,-2,0.2
Weint_077_met_SPE_23Dec20_Fir_Infuse_300SA_p1_037_01_1958,-2,2
Weint_078_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1988,-2,2
Weint_079_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2005,-2,2
Weint_080_met_SPE_23Dec20_Fir_Infuse_300SA_p1_030_01_2035,-2,2
Weint_pre_r1_met_SPE_23Dec20_Fir_Infuse_300SA_p1_052_01_1973,Pre,Pre
Weint_pre_r2_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1992,Pre,Pre
Weint_pre_r3_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2003,Pre,Pre
Weint_pre_r4_met_SPE_23Dec20_Fir_Infuse_300SA_p1_039_01_2044,Pre,Pre
Weint_001_met_SPE_23Dec20_Fir_Infuse_300SA_p1_040_01_1961,2,0
Weint_002_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1989,2,0
Weint_003_met_SPE_23Dec20_Fir_Infuse_300SA_p1_016_01_2021,2,0
Weint_004_met_SPE_23Dec20_Fir_Infuse_300SA_p1_026_01_2031,2,0
Weint_005_met_SPE_23Dec20_Fir_Infuse_300SA_p1_032_01_1953,2,0.4
Weint_006_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1982,2,0.4
Weint_007_met_SPE_23Dec20_Fir_Infuse_300SA_p1_010_01_2015,2,0.4
Weint_008_met_SPE_23Dec20_Fir_Infuse_300SA_p1_029_01_2034,2,0.4
Weint_009_met_SPE_23Dec20_Fir_Infuse_300SA_p1_035_01_1956,2,0.2
Weint_010_met_SPE_23Dec20_Fir_Infuse_300SA_p1_005_01_1980,2,0.2
Weint_011_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2012,2,0.2
Weint_012_met_SPE_23Dec20_Fir_Infuse_300SA_p1_035_01_2040,2,0.2
Weint_013_met_SPE_23Dec20_Fir_Infuse_300SA_p1_042_01_1963,2,2
Weint_014_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1983,2,2
Weint_015_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2001,2,2
Weint_016_met_SPE_23Dec20_Fir_Infuse_300SA_p1_038_01_2043,2,2
Weint_017_met_SPE_23Dec20_Fir_Infuse_300SA_p1_039_01_1960,6,0
Weint_018_met_SPE_23Dec20_Fir_Infuse_300SA_p1_004_01_1979,6,0
Weint_019_met_SPE_23Dec20_Fir_Infuse_300SA_p1_009_01_2014,6,0
Weint_020_met_SPE_23Dec20_Fir_Infuse_300SA_p1_033_01_2038,6,0
Weint_021_met_SPE_23Dec20_Fir_Infuse_300SA_p1_047_01_1968,6,0.4
Weint_022_met_SPE_23Dec20_Fir_Infuse_300SA_p1_002_01_1977,6,0.4
Weint_023_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2006,6,0.4
Weint_024_met_SPE_23Dec20_Fir_Infuse_300SA_p1_027_01_2032,6,0.4
Weint_025_met_SPE_23Dec20_Fir_Infuse_300SA_p1_043_01_1964,6,0.2
Weint_026_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1995,6,0.2
Weint_027_met_SPE_23Dec20_Fir_Infuse_300SA_p1_014_01_2019,6,0.2
Weint_028_met_SPE_23Dec20_Fir_Infuse_300SA_p1_028_01_2033,6,0.2
Weint_029_met_SPE_23Dec20_Fir_Infuse_300SA_p1_041_01_1962,6,2
Weint_030_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1990,6,2
Weint_031_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2004,6,2
Weint_032_met_SPE_23Dec20_Fir_Infuse_300SA_p1_024_01_2029,6,2
Weint_033_met_SPE_23Dec20_Fir_Infuse_300SA_p1_051_01_1972,-10,0
Weint_034_met_SPE_23Dec20_Fir_Infuse_300SA_p1_003_01_1978,-10,0
Weint_035_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2011,-10,0
Weint_036_met_SPE_23Dec20_Fir_Infuse_300SA_p1_031_01_2036,-10,0
Weint_037_met_SPE_23Dec20_Fir_Infuse_300SA_p1_049_01_1970,-10,0.4
Weint_038_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1993,-10,0.4
Weint_039_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2010,-10,0.4
Weint_040_met_SPE_23Dec20_Fir_Infuse_300SA_p1_020_01_2025,-10,0.4
Weint_041_met_SPE_23Dec20_Fir_Infuse_300SA_p1_036_01_1957,-10,0.2
Weint_042_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1986,-10,0.2
Weint_043_met_SPE_23Dec20_Fir_Infuse_300SA_p1_011_01_2016,-10,0.2
Weint_044_met_SPE_23Dec20_Fir_Infuse_300SA_p1_023_01_2028,-10,0.2
Weint_045_met_SPE_23Dec20_Fir_Infuse_300SA_p1_044_01_1965,-10,2
Weint_046_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1991,-10,2
Weint_047_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2009,-10,2
Weint_048_met_SPE_23Dec20_Fir_Infuse_300SA_p1_034_01_2039,-10,2
Weint_049_met_SPE_23Dec20_Fir_Infuse_300SA_p1_045_01_1966,-6,0
Weint_050_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1984,-6,0
Weint_051_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2008,-6,0
Weint_052_met_SPE_23Dec20_Fir_Infuse_300SA_p1_032_01_2037,-6,0
Weint_053_met_SPE_23Dec20_Fir_Infuse_300SA_p1_033_01_1954,-6,0.4
Weint_054_met_SPE_23Dec20_Fir_Infuse_300SA_p1_006_01_1981,-6,0.4
Weint_055_met_SPE_23Dec20_Fir_Infuse_300SA_p1_008_01_2013,-6,0.4
Weint_056_met_SPE_23Dec20_Fir_Infuse_300SA_p1_037_01_2042,-6,0.4
Weint_057_met_SPE_23Dec20_Fir_Infuse_300SA_p1_050_01_1971,-6,0.2
Weint_058_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1994,-6,0.2
Weint_059_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2002,-6,0.2
Weint_060_met_SPE_23Dec20_Fir_Infuse_300SA_p1_036_01_2041,-6,0.2
Weint_061_met_SPE_23Dec20_Fir_Infuse_300SA_p1_034_01_1955,-6,2
Weint_062_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1985,-6,2
Weint_063_met_SPE_23Dec20_Fir_Infuse_300SA_p1_012_01_2017,-6,2
Weint_064_met_SPE_23Dec20_Fir_Infuse_300SA_p1_025_01_2030,-6,2
Weint_065_met_SPE_23Dec20_Fir_Infuse_300SA_p1_046_01_1967,-2,0
Weint_066_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1997,-2,0
Weint_067_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2007,-2,0
Weint_068_met_SPE_23Dec20_Fir_Infuse_300SA_p1_021_01_2026,-2,0
Weint_069_met_SPE_23Dec20_Fir_Infuse_300SA_p1_048_01_1969,-2,0.4
